99	5	19	10	45	7.07107	7.07106	804.14	245.624	moveboxon	curl	3	3	0	0	0	0	0	0	0	0	0	0	0
100	5	20	10	45	0	0	635	483	moveboxon	curl	3	3	0	0	0	0	0	0	0	0	0	0	0
101	6	1	10	45	7.07107	7.07106	804.14	245.624	moveboxon	curl	3	3	0	0	0	0	0	0	0	0	0	0	0
102	6	2	10	135	0	0	635	483	moveboxon	curl	3	3	0	0	0	0	0	0	0	0	0	0	0
103	6	3	10	225	-7.07109	-7.07104	465.859	720.375	moveboxon	curl	3	3	0	0	0	0	0	0	0	0	0	0	0
104	6	4	10	315	0	0	635	483	moveboxon	curl	3	3	0	0	0	0	0	0	0	0	0	0	0
105	6	5	10	135	-7.07105	7.07108	465.86	245.624	moveboxon	curl	3	3	0	0	0	0	0	0	0	0	0	0	0
106	6	6	10	45	0	0	635	483	moveboxon	curl	3	3	0	0	0	0	0	0	0	0	0	0	0
107	6	7	10	45	7.07107	7.07106	804.14	245.624	moveboxon	curl	3	3	0	0	0	0	0	0	0	0	0	0	0
108	6	8	10	45	0	0	635	483	moveboxon	curl	3	3	0	0	0	0	0	0	0	0	0	0	0
109	6	9	10	225	-7.07109	-7.07104	465.859	720.375	moveboxon	curl	3	3	0	0	0	0	0	0	0	0	0	0	0
110	6	10	10	135	0	0	635	483	moveboxon	curl	3	3	0	0	0	0	0	0	0	0	0	0	0
111	6	11	10	315	7.07103	-7.0711	804.139	720.377	moveboxon	curl	3	3	0	0	0	0	0	0	0	0	0	0	0
112	6	12	10	315	0	0	635	483	moveboxon	curl	3	3	0	0	0	0	0	0	0	0	0	0	0
113	6	13	10	225	-7.07109	-7.07104	465.859	720.375	moveboxon	curl	3	3	0	0	0	0	0	0	0	0	0	0	0
114	6	14	10	315	0	0	635	483	moveboxon	curl	3	3	0	0	0	0	0	0	0	0	0	0	0
115	6	15	10	45	7.07107	7.07106	804.14	245.624	moveboxon	curl	3	3	0	0	0	0	0	0	0	0	0	0	0
116	6	16	10	225	0	0	635	483	moveboxon	curl	3	3	0	0	0	0	0	0	0	0	0	0	0
117	6	17	10	135	-7.07105	7.07108	465.86	245.624	moveboxon	curl	3	3	0	0	0	0	0	0	0	0	0	0	0
118	6	18	10	315	0	0	635	483	moveboxon	curl	3	3	0	0	0	0	0	0	0	0	0	0	0
119	6	19	10	225	-7.07109	-7.07104	465.859	720.375	moveboxon	curl	3	3	0	0	0	0	0	0	0	0	0	0	0
120	6	20	10	135	0	0	635	483	moveboxon	curl	3	3	0	0	0	0	0	0	0	0	0	0	0
121	7	1	10	135	-7.07105	7.07108	465.86	245.624	moveboxon	curl	3	3	0	0	0	0	0	0	0	0	0	0	0
122	7	2	10	225	0	0	635	483	moveboxon	curl	3	3	0	0	0	0	0	0	0	0	0	0	0
123	7	3	10	315	7.07103	-7.0711	804.139	720.377	moveboxon	curl	3	3	0	0	0	0	0	0	0	0	0	0	0
124	7	4	10	135	0	0	635	483	moveboxon	curl	3	3	0	0	0	0	0	0	0	0	0	0	0
125	7	5	10	45	7.07107	7.07106	804.14	245.624	moveboxon	curl	3	3	0	0	0	0	0	0	0	0	0	0	0
126	7	6	10	225	0	0	635	483	moveboxon	curl	3	3	0	0	0	0	0	0	0	0	0	0	0
127	7	7	10	315	7.07103	-7.0711	804.139	720.377	moveboxon	curl	3	3	0	0	0	0	0	0	0	0	0	0	0
128	7	8	10	315	0	0	635	483	moveboxon	curl	3	3	0	0	0	0	0	0	0	0	0	0	0
129	7	9	10	135	-7.07105	7.07108	465.86	245.624	moveboxon	curl	3	3	0	0	0	0	0	0	0	0	0	0	0
130	7	10	10	45	0	0	635	483	moveboxon	curl	3	3	0	0	0	0	0	0	0	0	0	0	0
131	7	11	10	225	-7.07109	-7.07104	465.859	720.375	moveboxon	curl	3	3	0	0	0	0	0	0	0	0	0	0	0
132	7	12	10	45	0	0	635	483	moveboxon	curl	3	3	0	0	0	0	0	0	0	0	0	0	0
133	7	13	10	315	7.07103	-7.0711	804.139	720.377	moveboxon	curl	3	3	0	0	0	0	0	0	0	0	0	0	0
134	7	14	10	45	0	0	635	483	moveboxon	curl	3	3	0	0	0	0	0	0	0	0	0	0	0
135	7	15	10	225	-7.07109	-7.07104	465.859	720.375	moveboxon	curl	3	3	0	0	0	0	0	0	0	0	0	0	0
136	7	16	10	135	0	0	635	483	moveboxon	curl	3	3	0	0	0	0	0	0	0	0	0	0	0
137	7	17	10	135	-7.07105	7.07108	465.86	245.624	moveboxon	curl	3	3	0	0	0	0	0	0	0	0	0	0	0
