fpfx 	fpfy 	fpfz 	fpmx 	fpmy 	fpmz
-755.29 	0.0685626 	-223.470599124 	-102.793821088 	-106.855976448 	-85.450994472
-755.29 	0.09139185 	-223.026993976 	-102.77239252 	-106.84103508 	-85.469279832
-755.29 	0.13705035 	-223.470599124 	-102.793821088 	-106.79635746 	-85.423536456
-755.29 	0.0456585 	-223.470599124 	-102.75103398 	-106.855976448 	-85.478422512
-755.29 	0.0685626 	-223.470599124 	-102.77239252 	-106.870868988 	-85.450994472
-755.29 	0.09139185 	-223.470599124 	-102.75103398 	-106.885761528 	-85.460137152
-755.29 	0.0685626 	-223.470599124 	-102.77239252 	-106.84103508 	-85.460137152
-755.29 	0.0456585 	-223.559262014 	-102.793821088 	-106.870868988 	-85.450994472
-755.29 	0.13705035 	-223.559262014 	-102.72967544 	-106.81125 	-85.441851792
-755.29 	0.1142211 	-223.647924904 	-102.77239252 	-106.870868988 	-85.469279832
-755.29 	0.1142211 	-223.736587794 	-102.836538168 	-106.855976448 	-85.460137152
