fpfx 	fpfy 	fpfz 	fpmx 	fpmy 	fpmz
-755.29 	0.09139185 	-223.292982646 	-102.857896708 	-106.885761528 	-85.487595168
-755.29 	0.13705035 	-223.559262014 	-102.900613788 	-106.82614254 	-85.487595168
-755.29 	0.02282925 	-223.204319756 	-102.857896708 	-106.855976448 	-85.460137152
-755.29 	0.13705035 	-223.026993976 	-102.793821088 	-106.915546608 	-85.460137152
-755.29 	0.0 	-223.292982646 	-102.836538168 	-106.855976448 	-85.469279832
-755.29 	0.09139185 	-223.115656866 	-102.77239252 	-106.885761528 	-85.487595168
-755.29 	0.1142211 	-223.115656866 	-102.77239252 	-106.930439148 	-85.478422512
-755.29 	0.0685626 	-223.381936234 	-102.900613788 	-106.82614254 	-85.469279832
-755.29 	0.0 	-223.292982646 	-102.815179628 	-106.855976448 	-85.505880528
-755.29 	0.1142211 	-223.115656866 	-102.879255248 	-106.900654068 	-85.460137152
-755.29 	0.02282925 	-223.292982646 	-102.836538168 	-106.915546608 	-85.478422512
-755.29 	0.1142211 	-223.292982646 	-102.879255248 	-106.915546608 	-85.460137152
-755.29 	0.09139185 	-223.470599124 	-102.793821088 	-106.870868988 	-85.460137152
-755.29 	0.09139185 	-222.583388828 	-102.793821088 	-106.915546608 	-85.469279832
-755.29 	0.09139185 	-223.204319756 	-102.857896708 	-106.870868988 	-85.469279832
-755.29 	0.02282925 	-223.204319756 	-102.77239252 	-106.82614254 	-85.478422512
-755.29 	0.02282925 	-222.938331086 	-102.900613788 	-106.915546608 	-85.441851792
-755.29 	0.1142211 	-223.204319756 	-102.793821088 	-106.855976448 	-85.505880528
-755.29 	0.09139185 	-223.204319756 	-102.857896708 	-106.82614254 	-85.460137152
-755.29 	0.1142211 	-223.204319756 	-102.815179628 	-106.870868988 	-85.478422512
-755.29 	0.13705035 	-223.026993976 	-102.815179628 	-106.885761528 	-85.487595168
-755.29 	-0.02282925 	-223.115656866 	-102.836538168 	-106.900654068 	-85.487595168
-755.29 	0.18270885 	-223.204319756 	-102.879255248 	-106.930439148 	-85.487595168
-755.29 	0.0685626 	-223.292982646 	-102.857896708 	-106.855976448 	-85.478422512
-755.29 	0.0685626 	-223.381936234 	-102.836538168 	-106.870868988 	-85.478422512
-755.29 	0.09139185 	-223.026993976 	-102.793821088 	-106.930439148 	-85.505880528
-755.29 	0.09139185 	-223.115656866 	-102.943400896 	-106.915546608 	-85.450994472
-755.29 	0.0685626 	-223.115656866 	-102.879255248 	-106.915546608 	-85.469279832
-755.29 	0.0685626 	-223.115656866 	-102.900613788 	-106.945380516 	-85.496737848
-755.29 	0.13705035 	-223.115656866 	-102.900613788 	-106.900654068 	-85.542481224
-755.29 	0.1142211 	-222.849668196 	-102.836538168 	-106.915546608 	-85.460137152
-755.29 	0.0456585 	-222.938331086 	-102.922042356 	-106.870868988 	-85.423536456
-755.29 	0.09139185 	-223.026993976 	-102.986117976 	-106.885761528 	-85.478422512
-755.29 	0.0685626 	-223.292982646 	-102.857896708 	-106.870868988 	-85.469279832
-755.29 	0.13705035 	-222.760714608 	-102.900613788 	-106.885761528 	-85.469279832
-755.29 	0.0685626 	-223.204319756 	-102.900613788 	-106.885761528 	-85.515023208
-755.29 	0.09139185 	-223.115656866 	-102.815179628 	-106.870868988 	-85.505880528
-755.29 	0.13705035 	-222.849668196 	-102.922042356 	-106.870868988 	-85.496737848
-755.29 	0.02282925 	-223.115656866 	-102.857896708 	-106.855976448 	-85.478422512
-755.29 	0.0685626 	-223.026993976 	-102.879255248 	-106.885761528 	-85.478422512
-755.29 	0.09139185 	-222.849668196 	-102.879255248 	-106.855976448 	-85.478422512
-755.29 	0.0456585 	-222.583388828 	-102.900613788 	-106.870868988 	-85.505880528
-755.29 	0.0685626 	-222.938331086 	-102.857896708 	-106.885761528 	-85.460137152
-755.29 	0.1142211 	-222.406063048 	-102.900613788 	-106.855976448 	-85.505880528
-755.29 	0.09139185 	-222.849668196 	-102.857896708 	-106.885761528 	-85.478422512
-755.29 	0.0685626 	-222.938331086 	-102.815179628 	-106.885761528 	-85.505880528
-755.29 	0.02282925 	-222.672051718 	-102.922042356 	-106.915546608 	-85.469279832
-755.29 	0.1142211 	-223.115656866 	-102.836538168 	-106.870868988 	-85.487595168
-755.29 	0.13705035 	-223.026993976 	-102.836538168 	-106.900654068 	-85.478422512
-755.29 	0.20561295 	-222.938331086 	-102.879255248 	-106.885761528 	-85.460137152
-755.29 	0.02282925 	-222.849668196 	-102.900613788 	-106.900654068 	-85.469279832
-755.29 	0.1142211 	-222.760714608 	-102.986117976 	-106.915546608 	-85.460137152
-755.29 	0.0685626 	-222.849668196 	-102.879255248 	-106.930439148 	-85.478422512
-755.29 	0.1142211 	-223.292982646 	-102.77239252 	-106.930439148 	-85.478422512
-755.29 	0.13705035 	-222.583388828 	-102.836538168 	-106.915546608 	-85.487595168
-755.29 	0.0456585 	-222.938331086 	-102.943400896 	-106.84103508 	-85.487595168
-755.29 	0.2284422 	-222.672051718 	-102.900613788 	-106.900654068 	-85.441851792
-755.29 	0.0685626 	-223.026993976 	-102.943400896 	-106.870868988 	-85.478422512
